  objname                       	   mod0 	     vgsr 	dist
  SCPJ104857.61+003150.0        	41.12	134771	1674942876
  SCPJ105552.98-035902.3        	41.34	174032	1853531623
  SCPJ105731.52-031348.3        	41.72	124570	2208004733
  SCPJ134709.90+022357.5        	42.83	248790	3681289736
  H-ZSNSJ170748.26+440126.2     	41.34	132090	1853531623
  H-ZSNSJ123704.27+622624.9     	41.65	150008	2137962090
  H-ZSNSJ045611.63-034126.0     	43.21	257733	4385306978
  H-ZSNSJ045856.32-035929.4     	41.71	161796	2197859873
  H-ZSNSJ082138.13+032510.5     	42.88	233694	3767037990
  H-ZSNSJ045514.27-055144.8     	42.59	173785	3296097122
  H-ZSNSJ045830.23-031604.0     	43.78	228652	5701642723
  H-ZSNSJ045936.57-030934.6     	41.23	158800	1761976046
  H-ZSNSJ045937.31-030901.6     	38.58	53873	519995997
  H-ZSNSJ082157.14+035335.7     	43.65	164744	5370317964
  H-ZSNSJ082350.03+032852.8     	39.49	53819	790678628
  H-ZSNSJ082402.51+040733.1     	42.48	110781	3133285724
  H-ZSNSJ105555.93-035648.2     	41.25	140756	1778279410
  H-ZSNSJ105651.48-035836.9     	41.05	131763	1621810097
  H-ZSNSJ105719.23-035451.7     	42.26	194719	2831391996
  H-ZSNSJ105356.22-033910.0     	40.62	107779	1330454418
  H-ZSNSJ105615.02-041521.5     	41.29	131762	1811340093
  H-ZSNSJ105716.38-033359.2     	41.61	149751	2098939884
  H-ZSNSJ105721.51-031449.9     	42.45	191723	3090295433
  H-ZSNSJ134336.92+021930.6     	41.47	128870	1967886290
  H-ZSNSJ134620.89+020240.4     	42.05	191827	2570395783
  H-ZSNSJ134744.72+022057.2     	42.53	224806	3206269325
  MSACSSJ092016.00+003339.6     	38.5	44816	501187234
  EROSJ110115.76-114515.2       	38.08	37009	413047502
  EROSJ115700.46-112638.6       	38.25	35834	446683592
  SDSSJ230017.30-000515.4       	38.72	54695	554625713
  H-ZSNSJ023354.39+003255.6     	41.61	137921	2098939884
  H-ZSNSJ023035.62+010943.3     	42.92	278827	3837072455
  H-ZSNSJ041403.88+041755.0     	41.34	140863	1853531623
  SDSSJ233153.01+000933.5       	39.85	84063	933254301
  SCPJ152306.31+293931.9        	43.56	278908	5152286446
  SCPJ140200.95+050059.2        	41.8	165464	2290867653
  SDSSJ140151.41+045312.5       	42.26	201140	2831391996
  SCPJ135704.54+043059.8        	41.66	153168	2147830474
  SDSSJ215647.63+001901.3       	38.19	38605	434510224
  NSFJ033923.74+350249.0        	31.84	974	23334581
  SDSSJ030711.02+010711.9       	38.18	38895	432513831
  SDSSJ223041.15-004634.4       	37.26	27068	283139200
  SDSSJ010821.96-000546.6       	40.33	87010	1164126029
  SDSSJ025032.13+004826.4       	39.31	57304	727779805
  SDSSJ033048.96-011415.4       	38.41	47939	480839348
  SDSSJ215704.19-001324.4       	37.93	32611	385478358
  SDSSJ030421.26-010347.0       	37.98	37311	394457302
  SDSSJ014559.73+011144.5       	39.05	48017	645654229
  SDSSJ023628.25+003042.6       	39.93	77544	968277856
  SDSSJ214000.48-000002.9       	38.46	30132	492039536
  SDSSJ223132.21-002937.2       	39.8	75089	912010839
  SDSSJ231842.19-011216.7       	40.34	90314	1169499391
  SDSSJ011619.85-004846.4       	40.58	104990	1306170888
